model,sample_instance_id,anchor_value,condition_class,step_used,layer,mass_anchor,mass_digit,mass_background,digit_over_anchor,run
llava-1.5-7b,269926003_269926_set00,8400,a,1,13,0.11419755220413208,0.06169964571017772,0.05249790649395436,0.5402886884990973,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,14,0.051278211176395416,0.0240532704629004,0.027224940713495016,0.46907389924656134,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,15,0.04496676102280617,0.02000467071775347,0.024962090305052698,0.4448768437559364,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,16,0.04314783588051796,0.021879363426705822,0.021268472453812137,0.5070790453382799,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,17,0.04323846846818924,0.022302694094832987,0.020935774373356253,0.5158067546088315,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,18,0.03474018722772598,0.01737354026408866,0.017366646963637322,0.5000992121948876,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,19,0.027596617117524147,0.01426535754580982,0.013331259571714327,0.5169241391094695,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,20,0.033277615904808044,0.016910144695430063,0.01636747120937798,0.5081537314392416,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,21,0.02183564379811287,0.011836045334348455,0.009999598463764414,0.5420515851871232,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,22,0.02710764855146408,0.014994307020970155,0.012113341530493926,0.5531393470925132,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,23,0.033692292869091034,0.019167798338457942,0.014524494530633092,0.5689075069165829,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,24,0.034076668322086334,0.019744737568544224,0.01433193075354211,0.5794210097630623,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,25,0.0326525941491127,0.016956532577751204,0.015696061571361497,0.5193012383737964,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,26,0.026416147127747536,0.014113898709183559,0.012302248418563977,0.5342905852594344,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,27,0.021770238876342773,0.010212968903942965,0.011557269972399808,0.469125256822109,20260428-100833
llava-1.5-7b,269926003_269926_set00,8400,a,1,28,0.026728332042694092,0.012473897426389158,0.014254434616304934,0.46669195094045407,20260428-100833
