experiment,model,timestamp,condition,df_moved_before,df_raw_before,adopt_before,exact_match_before,distance_before,n_before,df_moved_after,df_raw_after,adopt_after,exact_match_after,distance_after,n_after,df_moved_delta,df_raw_delta,adopt_delta,exact_match_delta
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-113935,target_plus_irrelevant_number_masked_S1,0.0,0.0,0.0,1.0,33.666666666666664,3.0,0.0,0.0,0.0,1.0,33.666666666666664,3.0,0.0,0.0,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-114421,target_only,,,0.0,0.6467532467532467,,385.0,,,0.0,0.6467532467532467,,385.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-114421,target_plus_irrelevant_neutral,,,0.0,0.6493506493506493,,385.0,,,0.0,0.6493506493506493,,385.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-114421,target_plus_irrelevant_number_S1,0.0,0.12672176308539945,0.0547945205479452,0.6547945205479452,6.972451790633609,365.0,0.10192837465564739,0.10192837465564739,0.07380073800738007,0.6547945205479452,6.972451790633609,365.0,0.10192837465564739,-0.024793388429752067,0.01900621745943487,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-instruct,20260428-114421,target_plus_irrelevant_number_masked_S1,0.0,0.11570247933884298,0.021917808219178082,0.6602739726027397,14.322314049586776,365.0,0.06887052341597796,0.06887052341597796,0.02952029520295203,0.6602739726027397,14.322314049586776,365.0,0.06887052341597796,-0.046831955922865015,0.007602486983773946,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-113935,target_only,,,0.0,0.6666666666666666,,3.0,,,0.0,0.6666666666666666,,3.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-113935,target_plus_irrelevant_neutral,,,0.0,1.0,,3.0,,,0.0,1.0,,3.0,,,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-113935,target_plus_irrelevant_number_S1,0.0,0.0,0.3333333333333333,1.0,33.666666666666664,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,34.666666666666664,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-113935,target_plus_irrelevant_number_masked_S1,0.0,0.0,0.0,0.6666666666666666,34.333333333333336,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,34.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-114421,target_only,,,,,,,,,0.0,0.587012987012987,,385.0,,,,
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-114421,target_plus_irrelevant_neutral,,,,,,,,,0.0,0.5662337662337662,,385.0,,,,
experiment_e5e_mathvista_reasoning,qwen3-vl-8b-thinking,20260428-114421,target_plus_irrelevant_number_S1,,,,,,,0.2913165266106443,0.2913165266106443,0.11730205278592376,0.6054794520547945,89911.82633053222,365.0,,,,
