experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S1,softmax_top1_prob,2,3,0.00625,0.08839779005524862,0.08214779005524861,0.00411522633744856,0.08713692946058091,0.08302170312313235
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S1,top1_minus_top2_margin,2,3,0.029585798816568046,0.06470588235294118,0.03512008353637314,0.016,0.0728744939271255,0.0568744939271255
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S2,entropy_top_k,1,2,0.0,0.0,0.0,0.012,0.10441767068273092,0.09241767068273092
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S2,softmax_top1_prob,1,3,0.0,0.030434782608695653,0.030434782608695653,0.00823045267489712,0.16942148760330578,0.16119103492840867
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S2,top1_minus_top2_margin,2,2,0.0,0.020242914979757085,0.020242914979757085,0.06,0.10887096774193548,0.04887096774193549
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S3,entropy_top_k,2,2,0.0,0.004032258064516129,0.004032258064516129,0.008,0.05241935483870968,0.04441935483870968
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S3,softmax_top1_prob,1,3,0.0,0.004132231404958678,0.004132231404958678,0.00411522633744856,0.10743801652892562,0.10332279019147707
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S3,top1_minus_top2_margin,1,2,0.0,0.0,0.0,0.032,0.07692307692307693,0.04492307692307693
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S4,entropy_top_k,0,1,0.0,0.0,0.0,0.008,0.040160642570281124,0.032160642570281124
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S4,softmax_top1_prob,0,3,0.0,0.0,0.0,0.00411522633744856,0.09917355371900827,0.09505832738155971
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S4,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.024,0.08064516129032258,0.05664516129032258
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S5,entropy_top_k,0,2,0.0,0.0,0.0,0.004,0.028112449799196786,0.024112449799196786
experiment_e5c_vqa,VQAv2,llava-next-interleaved-7b,m,S5,softmax_top1_prob,0,2,0.0,0.0,0.0,0.00411522633744856,0.07851239669421488,0.07439717035676632
